para_index,text_word,text_word_id,standoff_word,standoff_word_id,lat,lon
1015,Scotland,w439033,Scotland,w439033,56.0000000,-4.0000000
1015,Dod,w439269,Dod,w439269,55.94407170705405,-2.601967443148802
1020,Portugal,w441310,Portugal,w441310,39.6945000,-8.1305700
1020,Portugal,w441490,Portugal,w441490,39.6945000,-8.1305700
1020,Falmouth,w441503,Falmouth,w441503,50.15183304433292,-5.073978763475909
1021,Fl,w441805,Fl,w441805,55.82623048591457,-4.244427723145571
1021,Coalbrook,w442055,Coalbrook,w442055,51.68562957485037,-4.033828851759496
1022,Arr,w442211,Arr,w442211,57.41679847066654,-5.651080433607724
1023,Vogler,w442711,Vogler,w442711,,
1023,Howard,w442791,Castle Howard,w442791,54.12539528299175,-0.9074380296458963
1023,Darlington,w442897,Darlington,w442897,54.5352115496535,-1.558738110481984
1023,Bromsgrove,w443006,Bromsgrove,w443006,52.36156845482404,-2.006594981734683
1023,Erdington,w443053,Erdington,w443053,52.52125991136839,-1.831944377751145
1023,Scotland,w443171,Scotland,w443171,56.0000000,-4.0000000
1024,Ambleside,w443454,Ambleside,w443454,54.43212187889002,-2.960662505561757
1024,Hills,w443521,Weaver Hills,w443521,53.01572001485317,-1.859844321240578
1024,Vincent,w443558,St. Vincent,w443558,57.80628727095495,-4.063116455274622
1027,Edgbaston,w444876,Edgbaston,w444876,52.45842269634013,-1.92048479540946
1031,Trigiwulchau,w446433,Trigiwulchau,w446433,,
1031,Llanrwst,w446567,Llanrwst,w446567,53.14076802643417,-3.796470716303105
1031,Clogwyn,w446585,Clogwyn,w446585,53.07409564525736,-3.800111092851711
1031,Garnedd,w446599,Garnedd,w446599,53.26520516579585,-4.198001183909836
